PID,C_max,C_sum,D_max,D_sum,E_max,E_sum,O_max,O_sum,P_max,P_sum,CCC,CCD,CCO,CDC,CDD,CDO,COC,COD,COO,DCC,DCD,DCO,DDC,DDD,DDO,DOC,DOD,DOO,EEE,EEO,EOE,EOO,OCC,OCD,OCO,ODC,ODD,ODO,OEE,OOC,OOD,OOO,Labels
40752.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
40756.0,0,0,0,0,,,6,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
40775.0,0,0,0,0,,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
40994.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
41031.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
41174.0,0,0,0,0,,,5,5,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,3,0
41380.0,0,0,0,0,,,31,69,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,67,0
43100.0,0,0,0,0,,,19,19,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,17,0
43101.0,1,1,2,2,,,7,7,1,1,0,0,0,,1,0,0,0,0,0,,,,0,0,,0,0,,,,,0,1,0,0,0,0,,1,0,5,0
43102.0,200,1251,0,0,,,468,3314,0,0,2,0,7,,0,0,1079,0,162,0,,,,0,0,,0,0,,,,,7,0,1235,0,0,0,,162,0,1909,0
43103.0,262,1557,0,0,,,630,4417,0,0,1,0,4,,0,0,1314,0,237,0,,,,0,0,,0,0,,,,,4,0,1548,0,0,0,,237,0,2627,0
43104.0,120,619,0,0,,,348,1985,0,0,0,0,2,,0,0,585,0,31,0,,,,0,0,,0,0,,,,,2,0,615,0,0,0,,31,0,1336,0
43105.0,197,1450,0,0,,,472,4074,0,0,4,0,7,,0,0,1255,0,183,0,,,,0,0,,0,0,,,,,7,0,1432,0,0,0,,183,0,2451,0
43106.0,137,1000,0,0,,,574,2921,0,0,3,0,4,,0,0,820,0,172,0,,,,0,0,,0,0,,,,,4,0,989,0,0,0,,172,0,1755,0
43107.0,200,1366,0,0,,,430,4081,0,0,3,0,5,,0,0,1159,0,198,0,,,,0,0,,0,0,,,,,5,0,1353,0,0,0,,198,0,2524,0
43108.0,260,1351,0,0,,,759,4610,0,0,0,0,7,,0,0,1018,0,325,0,,,,0,0,,0,0,,,,,7,0,1337,0,0,0,,325,0,2940,0
43109.0,202,1384,0,0,,,718,4604,0,0,3,0,7,,0,0,1107,0,266,0,,,,0,0,,0,0,,,,,7,0,1367,0,0,0,,266,0,2963,0
43119.0,1,1,0,0,,,475,476,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,1,0,474,0
